schema_version,user_id,match_type,activity,available_times,min_session_minutes,acceptable_locations,allow_off_campus,group_size_preference,self_level,acceptable_partner_levels,hard_restrictions,goal,intensity,communication_style,planning_style,supervision_preference,punctuality_importance,cancellation_tolerance,organization_role,interests,self_description,partner_expectation,preference_weights
1.0.0,U0011,study,linear_algebra,"[""wed_19_00"",""wed_19_30"",""wed_20_00"",""wed_20_30"",""fri_19_00"",""fri_19_30"",""fri_20_00"",""fri_20_30""]",60,"[""online"",""pku_library""]",false,either,intermediate,"[""basic"",""intermediate"",""advanced""]",[],mutual_accountability,3,balanced,planned,3,4,4,organizer,"[""mathematics"",""ai"",""reading""]",我习惯按计划完成本周学习任务，希望保持稳定节奏。,期待对方认真守时，一起完成本周的具体学习目标。,"{""communication"":0.08333333,""goal"":0.25,""interest"":0.08333333,""level"":0.1875,""planning"":0.125,""text"":0.06250001,""time"":0.20833333}"
1.0.0,U0012,study,linear_algebra,"[""wed_19_00"",""wed_19_30"",""wed_20_00"",""wed_20_30"",""sat_14_00"",""sat_14_30"",""sat_15_00"",""sat_15_30"",""sat_16_00""]",90,"[""online""]",false,either,intermediate,"[""basic"",""intermediate"",""advanced""]",[],homework_project,3,balanced,spontaneous,1,3,1,participant,"[""mathematics"",""ai"",""research"",""programming""]",我习惯按计划完成本周学习任务，希望保持稳定节奏。,希望找到愿意按计划行动并能交流学习进度的搭子。,"{""communication"":0.12765957,""goal"":0.25531915,""interest"":0.08510638,""level"":0.12765957,""planning"":0.12765957,""text"":0.0638298,""time"":0.21276596}"
1.0.0,U0013,sport,swimming,"[""wed_18_30"",""wed_19_00"",""wed_19_30"",""wed_20_00"",""fri_18_30"",""fri_19_00"",""fri_19_30"",""fri_20_00""]",60,"[""sports_field"",""gymnasium""]",false,either,intermediate,"[""basic"",""intermediate"",""advanced""]","[""no_last_minute_cancel""]",skill_improvement,3,quiet,planned,5,5,3,balanced,"[""fitness"",""outdoors"",""running"",""ball_sports""]",我想通过结伴提高运动积极性，同时享受活动过程。,希望一起安全运动，以持续行动为主而不是盲目竞争。,"{""communication"":0.08163265,""goal"":0.16326531,""interest"":0.08163265,""level"":0.18367347,""planning"":0.12244898,""text"":0.06122449,""time"":0.30612245}"
1.0.0,U0014,sport,swimming,"[""wed_18_30"",""wed_19_00"",""wed_19_30"",""wed_20_00"",""sat_09_00"",""sat_09_30"",""sat_10_00"",""sat_10_30""]",90,"[""sports_field""]",false,either,intermediate,"[""basic"",""intermediate"",""advanced""]",[],recreation,3,interactive,flexible,1,4,2,participant,"[""fitness"",""outdoors"",""ball_sports"",""running""]",我希望保持规律运动，重视安全和彼此节奏合适。,期待找到可以稳定参加、不会临时爽约的运动搭子。,"{""communication"":0.08510638,""goal"":0.25531915,""interest"":0.12765957,""level"":0.12765957,""planning"":0.12765957,""text"":0.0638298,""time"":0.21276596}"
1.0.0,U0015,interest,exhibition,"[""sat_10_00"",""sat_10_30"",""sat_11_00"",""sat_11_30"",""sat_12_00"",""sat_18_00"",""sat_18_30"",""sat_19_00"",""sat_19_30"",""sat_20_00""]",60,"[""off_campus_haidian"",""campus_common_area""]",true,one_to_one,basic,"[""novice"",""basic"",""intermediate""]",[],social_connection,2,interactive,spontaneous,2,4,3,organizer,"[""art"",""city_exploration"",""board_games"",""music""]",我重视活动体验，也希望提前沟通时间、地点和大致安排。,期待找到守时友好、预算和行动节奏比较合适的同学。,"{""communication"":0.08510638,""goal"":0.17021277,""interest"":0.08510638,""level"":0.19148936,""planning"":0.19148936,""text"":0.06382979,""time"":0.21276596}"
1.0.0,U0016,interest,exhibition,"[""sat_10_00"",""sat_10_30"",""sat_11_00"",""sat_11_30"",""sat_12_00"",""sun_10_00"",""sun_10_30"",""sun_11_00"",""sun_11_30"",""sun_12_00""]",60,"[""off_campus_haidian""]",true,one_to_one,basic,"[""novice"",""basic"",""intermediate""]",[],skill_improvement,1,interactive,flexible,4,4,3,participant,"[""art"",""city_exploration"",""movies""]",我喜欢探索校园及周边活动，希望安排轻松但不随意。,希望对方兴趣相近、沟通自然，并愿意一起确定活动安排。,"{""communication"":0.08695652,""goal"":0.17391304,""interest"":0.13043478,""level"":0.19565217,""planning"":0.13043478,""text"":0.06521741,""time"":0.2173913}"
1.0.0,U0017,study,english_cet,"[""thu_19_00"",""thu_19_30"",""thu_20_00"",""thu_20_30""]",90,"[""pku_library""]",false,one_to_one,advanced,"[""intermediate"",""advanced""]",[],homework_project,3,balanced,planned,2,3,3,balanced,"[""languages"",""reading""]",我习惯按计划完成本周学习任务，希望保持稳定节奏。,期待对方认真守时，一起完成本周的具体学习目标。,"{""communication"":0.12765957,""goal"":0.25531915,""interest"":0.08510638,""level"":0.12765957,""planning"":0.12765957,""text"":0.0638298,""time"":0.21276596}"
1.0.0,U0018,study,english_cet,"[""thu_19_00"",""thu_19_30"",""thu_20_00"",""thu_20_30"",""sun_14_00"",""sun_14_30"",""sun_15_00"",""sun_15_30"",""sun_16_00""]",60,"[""pku_library""]",false,one_to_one,advanced,"[""intermediate"",""advanced""]","[""no_off_campus""]",habit_building,3,quiet,flexible,2,3,2,participant,"[""languages"",""reading"",""research"",""programming""]",我习惯按计划完成本周学习任务，希望保持稳定节奏。,期待对方认真守时，一起完成本周的具体学习目标。,"{""communication"":0.08163265,""goal"":0.16326531,""interest"":0.08163265,""level"":0.12244898,""planning"":0.18367347,""text"":0.06122449,""time"":0.30612245}"
1.0.0,U0019,sport,fitness,"[""thu_18_30"",""thu_19_00"",""thu_19_30"",""thu_20_00"",""sat_09_00"",""sat_09_30"",""sat_10_00"",""sat_10_30""]",90,"[""gymnasium"",""sports_field""]",false,one_to_one,advanced,"[""intermediate"",""advanced""]","[""no_last_minute_cancel""]",recreation,3,interactive,planned,2,3,2,balanced,"[""fitness"",""outdoors"",""ball_sports"",""running""]",我会按约定时间参加，希望一起逐步提升运动状态。,希望对方水平和强度接近，守时并尊重彼此运动节奏。,"{""communication"":0.07692308,""goal"":0.23076923,""interest"":0.07692308,""level"":0.17307692,""planning"":0.11538462,""text"":0.03846153,""time"":0.28846154}"
1.0.0,U0020,sport,fitness,"[""thu_18_30"",""thu_19_00"",""thu_19_30"",""thu_20_00""]",90,"[""gymnasium""]",false,one_to_one,advanced,"[""intermediate"",""advanced""]","[""no_group_activity""]",competition,3,quiet,flexible,3,2,3,participant,"[""fitness"",""outdoors"",""ball_sports"",""running""]",我会按约定时间参加，希望一起逐步提升运动状态。,期待找到可以稳定参加、不会临时爽约的运动搭子。,"{""communication"":0.08333333,""goal"":0.25,""interest"":0.08333333,""level"":0.125,""planning"":0.1875,""text"":0.06250001,""time"":0.20833333}"
1.0.0,U0021,study,ielts_toefl,"[""fri_19_00"",""fri_19_30"",""fri_20_00"",""fri_20_30"",""sun_14_00"",""sun_14_30"",""sun_15_00"",""sun_15_30"",""sun_16_00""]",60,"[""teaching_building"",""online""]",false,small_group,novice,"[""novice"",""basic""]",[],habit_building,5,quiet,spontaneous,2,5,2,organizer,"[""languages"",""reading"",""research""]",我想通过固定结伴提高执行力，也愿意适度交流问题。,期待对方认真守时，一起完成本周的具体学习目标。,"{""communication"":0.08333333,""goal"":0.25,""interest"":0.08333333,""level"":0.1875,""planning"":0.125,""text"":0.06250001,""time"":0.20833333}"
1.0.0,U0022,study,ielts_toefl,"[""mon_19_00"",""mon_19_30"",""mon_20_00"",""mon_20_30"",""fri_19_00"",""fri_19_30"",""fri_20_00"",""fri_20_30""]",60,"[""teaching_building"",""pku_library""]",false,small_group,novice,"[""novice"",""basic""]","[""no_off_campus""]",exam_prep,5,interactive,flexible,5,5,3,participant,"[""languages"",""reading"",""mathematics"",""programming""]",我想通过固定结伴提高执行力，也愿意适度交流问题。,期待对方认真守时，一起完成本周的具体学习目标。,"{""communication"":0.08333333,""goal"":0.25,""interest"":0.08333333,""level"":0.125,""planning"":0.1875,""text"":0.06250001,""time"":0.20833333}"
1.0.0,U0023,sport,cycling,"[""fri_18_30"",""fri_19_00"",""fri_19_30"",""fri_20_00""]",60,"[""sports_field"",""gymnasium""]",false,small_group,novice,"[""novice"",""basic""]",[],competition,4,balanced,planned,3,5,3,balanced,"[""outdoors"",""fitness"",""ball_sports""]",我想通过结伴提高运动积极性，同时享受活动过程。,期待找到可以稳定参加、不会临时爽约的运动搭子。,"{""communication"":0.08333333,""goal"":0.25,""interest"":0.08333333,""level"":0.125,""planning"":0.1875,""text"":0.06250001,""time"":0.20833333}"
1.0.0,U0024,sport,cycling,"[""mon_18_30"",""mon_19_00"",""mon_19_30"",""mon_20_00"",""fri_18_30"",""fri_19_00"",""fri_19_30"",""fri_20_00""]",60,"[""sports_field""]",false,small_group,novice,"[""novice"",""basic""]",[],fitness,5,interactive,flexible,1,5,1,balanced,"[""outdoors"",""fitness"",""running""]",我会按约定时间参加，希望一起逐步提升运动状态。,希望一起安全运动，以持续行动为主而不是盲目竞争。,"{""communication"":0.125,""goal"":0.25,""interest"":0.125,""level"":0.125,""planning"":0.125,""text"":0.04166667,""time"":0.20833333}"
1.0.0,U0025,interest,lecture,"[""sat_14_00"",""sat_14_30"",""sat_15_00"",""sat_15_30"",""sat_16_00"",""sat_16_30"",""sun_10_00"",""sun_10_30"",""sun_11_00"",""sun_11_30"",""sun_12_00""]",90,"[""campus_common_area""]",false,either,intermediate,"[""basic"",""intermediate"",""advanced""]","[""no_last_minute_cancel""]",skill_improvement,2,interactive,planned,1,5,5,organizer,"[""lectures"",""research"",""photography""]",我喜欢探索校园及周边活动，希望安排轻松但不随意。,希望对方兴趣相近、沟通自然，并愿意一起确定活动安排。,"{""communication"":0.12244898,""goal"":0.16326531,""interest"":0.12244898,""level"":0.12244898,""planning"":0.12244898,""text"":0.04081632,""time"":0.30612245}"
1.0.0,U0026,interest,lecture,"[""sat_14_00"",""sat_14_30"",""sat_15_00"",""sat_15_30"",""sat_16_00"",""sat_16_30"",""sun_14_00"",""sun_14_30"",""sun_15_00"",""sun_15_30"",""sun_16_00"",""sun_16_30""]",90,"[""campus_common_area""]",false,either,intermediate,"[""basic"",""intermediate"",""advanced""]",[],relaxation,2,quiet,planned,4,4,3,participant,"[""lectures"",""research"",""art"",""food""]",我喜欢探索校园及周边活动，希望安排轻松但不随意。,希望彼此尊重选择，把共同兴趣真正转化为一次行动。,"{""communication"":0.12765957,""goal"":0.17021277,""interest"":0.12765957,""level"":0.12765957,""planning"":0.19148936,""text"":0.0425532,""time"":0.21276596}"
1.0.0,U0027,study,algorithms,"[""mon_19_00"",""mon_19_30"",""mon_20_00"",""mon_20_30"",""sat_14_00"",""sat_14_30"",""sat_15_00"",""sat_15_30"",""sat_16_00""]",90,"[""online""]",false,either,basic,"[""novice"",""basic"",""intermediate""]",[],exam_prep,1,quiet,planned,2,3,4,organizer,"[""programming"",""mathematics"",""languages""]",我习惯按计划完成本周学习任务，希望保持稳定节奏。,期待对方认真守时，一起完成本周的具体学习目标。,"{""communication"":0.08695652,""goal"":0.17391304,""interest"":0.13043478,""level"":0.19565217,""planning"":0.13043478,""text"":0.06521741,""time"":0.2173913}"
1.0.0,U0028,study,algorithms,"[""tue_19_00"",""tue_19_30"",""tue_20_00"",""tue_20_30"",""sat_14_00"",""sat_14_30"",""sat_15_00"",""sat_15_30"",""sat_16_00""]",60,"[""online"",""teaching_building""]",false,either,basic,"[""novice"",""basic"",""intermediate""]","[""no_off_campus""]",skill_improvement,1,quiet,planned,1,3,2,participant,"[""programming"",""mathematics"",""research""]",我想通过固定结伴提高执行力，也愿意适度交流问题。,希望找到愿意按计划行动并能交流学习进度的搭子。,"{""communication"":0.08163265,""goal"":0.16326531,""interest"":0.08163265,""level"":0.18367347,""planning"":0.12244898,""text"":0.06122449,""time"":0.30612245}"
1.0.0,U0029,sport,basketball,"[""mon_18_30"",""mon_19_00"",""mon_19_30"",""mon_20_00"",""sat_09_00"",""sat_09_30"",""sat_10_00"",""sat_10_30""]",60,"[""gymnasium"",""sports_field""]",false,either,basic,"[""novice"",""basic"",""intermediate""]",[],fitness,1,balanced,flexible,3,4,3,balanced,"[""ball_sports"",""fitness""]",我希望保持规律运动，重视安全和彼此节奏合适。,期待找到可以稳定参加、不会临时爽约的运动搭子。,"{""communication"":0.08695652,""goal"":0.17391304,""interest"":0.13043478,""level"":0.13043478,""planning"":0.19565217,""text"":0.06521741,""time"":0.2173913}"
1.0.0,U0030,sport,basketball,"[""tue_18_30"",""tue_19_00"",""tue_19_30"",""tue_20_00"",""sat_09_00"",""sat_09_30"",""sat_10_00"",""sat_10_30""]",60,"[""gymnasium""]",false,either,basic,"[""novice"",""basic"",""intermediate""]",[],habit_building,1,interactive,flexible,1,5,4,balanced,"[""ball_sports"",""fitness""]",我希望保持规律运动，重视安全和彼此节奏合适。,希望一起安全运动，以持续行动为主而不是盲目竞争。,"{""communication"":0.07692308,""goal"":0.23076923,""interest"":0.07692308,""level"":0.11538462,""planning"":0.17307692,""text"":0.03846153,""time"":0.28846154}"
1.0.0,U0031,study,course_project,"[""tue_19_00"",""tue_19_30"",""tue_20_00"",""tue_20_30"",""sun_14_00"",""sun_14_30"",""sun_15_00"",""sun_15_30"",""sun_16_00""]",90,"[""pku_library""]",false,one_to_one,intermediate,"[""basic"",""intermediate"",""advanced""]","[""no_last_minute_cancel""]",skill_improvement,1,balanced,planned,2,4,3,organizer,"[""programming"",""research"",""reading""]",我习惯按计划完成本周学习任务，希望保持稳定节奏。,期待对方认真守时，一起完成本周的具体学习目标。,"{""communication"":0.08333333,""goal"":0.16666667,""interest"":0.125,""level"":0.1875,""planning"":0.1875,""text"":0.04166667,""time"":0.20833333}"
1.0.0,U0032,study,course_project,"[""wed_19_00"",""wed_19_30"",""wed_20_00"",""wed_20_30"",""sun_14_00"",""sun_14_30"",""sun_15_00"",""sun_15_30"",""sun_16_00""]",60,"[""pku_library"",""online""]",false,one_to_one,intermediate,"[""basic"",""intermediate"",""advanced""]","[""no_group_activity"",""no_last_minute_cancel"",""no_high_intensity""]",mutual_accountability,1,interactive,planned,2,5,4,balanced,"[""programming"",""research""]",我习惯按计划完成本周学习任务，希望保持稳定节奏。,期待对方认真守时，一起完成本周的具体学习目标。,"{""communication"":0.125,""goal"":0.16666667,""interest"":0.08333333,""level"":0.125,""planning"":0.125,""text"":0.0625,""time"":0.3125}"
1.0.0,U0033,sport,table_tennis,"[""tue_18_30"",""tue_19_00"",""tue_19_30"",""tue_20_00"",""sun_09_00"",""sun_09_30"",""sun_10_00"",""sun_10_30""]",60,"[""sports_field""]",false,one_to_one,intermediate,"[""basic"",""intermediate"",""advanced""]",[],habit_building,1,quiet,flexible,3,4,2,balanced,"[""ball_sports"",""fitness"",""outdoors""]",我想通过结伴提高运动积极性，同时享受活动过程。,希望对方水平和强度接近，守时并尊重彼此运动节奏。,"{""communication"":0.12,""goal"":0.16,""interest"":0.08,""level"":0.12,""planning"":0.18,""text"":0.04,""time"":0.3}"
1.0.0,U0034,sport,table_tennis,"[""wed_18_30"",""wed_19_00"",""wed_19_30"",""wed_20_00"",""sun_09_00"",""sun_09_30"",""sun_10_00"",""sun_10_30""]",90,"[""sports_field""]",false,one_to_one,intermediate,"[""basic"",""intermediate"",""advanced""]",[],skill_improvement,2,quiet,flexible,4,4,2,participant,"[""ball_sports"",""fitness"",""outdoors""]",我会按约定时间参加，希望一起逐步提升运动状态。,期待找到可以稳定参加、不会临时爽约的运动搭子。,"{""communication"":0.08333333,""goal"":0.25,""interest"":0.08333333,""level"":0.125,""planning"":0.1875,""text"":0.06250001,""time"":0.20833333}"
1.0.0,U0035,interest,photography,"[""sat_18_00"",""sat_18_30"",""sat_19_00"",""sat_19_30"",""sat_20_00""]",60,"[""off_campus_haidian"",""campus_common_area""]",true,one_to_one,advanced,"[""intermediate"",""advanced""]","[""no_group_activity""]",relaxation,4,quiet,planned,4,5,3,balanced,"[""photography"",""art"",""lectures"",""food""]",我愿意认识兴趣相近的同学，一起完成具体活动计划。,希望彼此尊重选择，把共同兴趣真正转化为一次行动。,"{""communication"":0.12765957,""goal"":0.17021277,""interest"":0.12765957,""level"":0.12765957,""planning"":0.19148936,""text"":0.0425532,""time"":0.21276596}"
1.0.0,U0036,interest,photography,"[""sat_18_00"",""sat_18_30"",""sat_19_00"",""sat_19_30"",""sat_20_00""]",60,"[""off_campus_haidian""]",true,one_to_one,advanced,"[""intermediate"",""advanced""]",[],exploration,4,balanced,planned,4,3,1,balanced,"[""photography"",""art"",""board_games""]",我愿意认识兴趣相近的同学，一起完成具体活动计划。,期待找到守时友好、预算和行动节奏比较合适的同学。,"{""communication"":0.12765957,""goal"":0.17021277,""interest"":0.12765957,""level"":0.19148936,""planning"":0.12765957,""text"":0.0425532,""time"":0.21276596}"
1.0.0,U0037,study,general_study,"[""mon_19_00"",""mon_19_30"",""mon_20_00"",""mon_20_30"",""wed_19_00"",""wed_19_30"",""wed_20_00"",""wed_20_30""]",60,"[""teaching_building""]",false,one_to_one,advanced,"[""intermediate"",""advanced""]",[],mutual_accountability,2,balanced,flexible,1,5,2,organizer,"[""reading"",""research"",""mathematics""]",我习惯按计划完成本周学习任务，希望保持稳定节奏。,期待对方认真守时，一起完成本周的具体学习目标。,"{""communication"":0.08333333,""goal"":0.25,""interest"":0.08333333,""level"":0.125,""planning"":0.1875,""text"":0.06250001,""time"":0.20833333}"
1.0.0,U0038,study,general_study,"[""mon_19_00"",""mon_19_30"",""mon_20_00"",""mon_20_30"",""thu_19_00"",""thu_19_30"",""thu_20_00"",""thu_20_30""]",90,"[""teaching_building"",""pku_library""]",false,one_to_one,advanced,"[""intermediate"",""advanced""]","[""no_last_minute_cancel""]",homework_project,2,balanced,planned,2,5,4,participant,"[""reading"",""research"",""languages"",""programming""]",我更关注实际学习效果，希望每次活动都能完成明确目标。,希望对方时间稳定、目标相近，可以互相提醒但不过度施压。,"{""communication"":0.12765957,""goal"":0.17021277,""interest"":0.12765957,""level"":0.12765957,""planning"":0.19148936,""text"":0.0425532,""time"":0.21276596}"
1.0.0,U0039,sport,running,"[""mon_18_30"",""mon_19_00"",""mon_19_30"",""mon_20_00"",""wed_18_30"",""wed_19_00"",""wed_19_30"",""wed_20_00""]",60,"[""gymnasium"",""sports_field""]",false,one_to_one,advanced,"[""intermediate"",""advanced""]",[],skill_improvement,3,quiet,flexible,5,3,2,organizer,"[""running"",""outdoors""]",我想通过结伴提高运动积极性，同时享受活动过程。,希望对方水平和强度接近，守时并尊重彼此运动节奏。,"{""communication"":0.08510638,""goal"":0.25531915,""interest"":0.12765957,""level"":0.12765957,""planning"":0.12765957,""text"":0.0638298,""time"":0.21276596}"
1.0.0,U0040,sport,running,"[""mon_18_30"",""mon_19_00"",""mon_19_30"",""mon_20_00"",""thu_18_30"",""thu_19_00"",""thu_19_30"",""thu_20_00""]",90,"[""gymnasium""]",false,one_to_one,advanced,"[""intermediate"",""advanced""]",[],recreation,2,quiet,flexible,1,3,2,participant,"[""running"",""outdoors""]",我会按约定时间参加，希望一起逐步提升运动状态。,希望一起安全运动，以持续行动为主而不是盲目竞争。,"{""communication"":0.12765957,""goal"":0.25531915,""interest"":0.08510638,""level"":0.12765957,""planning"":0.12765957,""text"":0.0638298,""time"":0.21276596}"
1.0.0,U0041,study,python,"[""tue_19_00"",""tue_19_30"",""tue_20_00"",""tue_20_30""]",60,"[""online"",""pku_library""]",false,either,novice,"[""novice"",""basic""]",[],homework_project,3,balanced,flexible,2,4,4,organizer,"[""programming"",""ai"",""research"",""languages""]",我想通过固定结伴提高执行力，也愿意适度交流问题。,期待对方认真守时，一起完成本周的具体学习目标。,"{""communication"":0.125,""goal"":0.16666667,""interest"":0.08333333,""level"":0.125,""planning"":0.125,""text"":0.0625,""time"":0.3125}"
1.0.0,U0042,study,python,"[""tue_19_00"",""tue_19_30"",""tue_20_00"",""tue_20_30""]",60,"[""online"",""teaching_building""]",false,either,novice,"[""novice"",""basic""]",[],habit_building,3,balanced,flexible,2,4,1,balanced,"[""programming"",""ai"",""languages""]",我更关注实际学习效果，希望每次活动都能完成明确目标。,希望找到愿意按计划行动并能交流学习进度的搭子。,"{""communication"":0.08333333,""goal"":0.25,""interest"":0.08333333,""level"":0.125,""planning"":0.1875,""text"":0.06250001,""time"":0.20833333}"
1.0.0,U0043,sport,badminton,"[""tue_18_30"",""tue_19_00"",""tue_19_30"",""tue_20_00"",""thu_18_30"",""thu_19_00"",""thu_19_30"",""thu_20_00""]",90,"[""sports_field"",""gymnasium""]",false,either,novice,"[""novice"",""basic""]",[],recreation,3,balanced,flexible,5,5,2,organizer,"[""ball_sports"",""fitness"",""running"",""outdoors""]",我会按约定时间参加，希望一起逐步提升运动状态。,期待找到可以稳定参加、不会临时爽约的运动搭子。,"{""communication"":0.07843137,""goal"":0.15686275,""interest"":0.07843137,""level"":0.17647059,""planning"":0.17647059,""text"":0.03921568,""time"":0.29411765}"
